region;city;cat;comerc;object;mark;date;mark_id
Свердловская область;Екатеринбург;Культурный отдых;да;Живой театр;5;2020-04;118154306138256753679
Свердловская область;Екатеринбург;Культурный отдых;да;Живой театр;5;2020-03;118357984535036647268
Свердловская область;Екатеринбург;Культурный отдых;да;Живой театр;5;2020-03;100372330474044357400
Свердловская область;Екатеринбург;Культурный отдых;да;Живой театр;5;2020-02;112224725776794769201
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;5;2020-04;116217050269499223309
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;5;2020-04;116860517524448112523
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;5;2020-03;105105901103183060964
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;5;2020-03;116287609137656797982
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;5;2020-03;116550516596685503704
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;4;2020-03;102509722887509645397
Свердловская область;Екатеринбург;Архитектура;да;Смотровая площадка БЦ Высоцкий ;5;2020-02;109916385270393547365
Свердловская область;Екатеринбург;Семейный отдых;да;Океанариум;5;2020-02;106273663445691660870
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк;3;2020-03;115177246214293954193
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк;3;2020-03;101742032651193020971
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк;1;2020-03;106410167082346660193
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк;2;2020-03;102342518233519810355
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк;4;2020-02;111754858129830071013
Свердловская область;Екатеринбург;Семейный отдых;да;Екатеринбургский зоопарк;4;2020-02;116404848824015309327
Свердловская область;Екатеринбург;Семейный отдых;да;ФэнтазиГрад;5;2020-03;116163689674015375654
Свердловская область;Екатеринбург;Семейный отдых;да;ФэнтазиГрад;3;2020-02;101734367931184716174
Свердловская область;Екатеринбург;Музей;да;Антимузей комьютеров и компьютерных игр;5;2020-04;117222033089163026096
Свердловская область;Екатеринбург;Музей;да;Антимузей комьютеров и компьютерных игр;5;2020-02;101727590746970053851
Свердловская область;Екатеринбург;Семейный отдых;да;Творческая студия Воздух;5;2020-02;113761175238719033212
Свердловская область;Екатеринбург;Семейный отдых;да;Творческая студия Воздух;5;2020-02;103279342507621374850
Свердловская область;Екатеринбург;Музеи;да;Дом Метенкова;4;2020-02;114638433818578464770
Свердловская область;Екатеринбург;Музеи;да;Дом Метенкова;4;2020-02;116247219413954619814
Свердловская область;Екатеринбург;Музеи;да;Центр искусств Главный проспект;5;2020-02;111938747854544178143
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургская галерея современного искусства;5;2020-02;114955941950224670343
Свердловская область;Екатеринбург;Музеи;да;Центр фотографии Март;5;2020-04;117222033089163026096
Свердловская область;Екатеринбург;Музеи;да;Центр фотографии Март;5;2020-03;115341753294091057125
Свердловская область;Екатеринбург;Музеи;да;Центр фотографии Март;5;2020-03;100836418311939244657
Свердловская область;Екатеринбург;Музеи;да;Центр фотографии Март;5;2020-03;103355781654628775694
Свердловская область;Екатеринбург;Музеи;да;Центр фотографии Март;5;2020-02;104445413501322965258
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей Высоцкого;5;2020-03;102739073412204232053
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей Высоцкого;5;2020-03;116550516596685503704
Свердловская область;Екатеринбург;Музеи;да;Екатеринбургский музей Высоцкого;5;2020-02;112491704116250188189
Свердловская область;Екатеринбург;Музеи;да;Музей истории каменрезного и ювелирного искусства;5;2020-04;100537410254269190258
Свердловская область;Екатеринбург;Музеи;да;Музей истории каменрезного и ювелирного искусства;5;2020-03;116359505010665653360
Свердловская область;Екатеринбург;Музеи;да;Музей истории каменрезного и ювелирного искусства;5;2020-03;113581199187768237220
Свердловская область;Екатеринбург;Музеи;да;Музей истории каменрезного и ювелирного искусства;4;2020-03;109741274691559615762
Свердловская область;Екатеринбург;Музеи;да;Музей истории каменрезного и ювелирного искусства;5;2020-02;112847131934072741175
Свердловская область;Нижний Тагил;Музеи;да;Музей Уралвагонзавода;5;2020-04;105009828809163124674
Свердловская область;Екатеринбург;Музеи;да;Уральский государственный геологический музей;5;2020-04;107738296266214903492
Свердловская область;Екатеринбург;Музеи;да;Уральский государственный геологический музей;5;2020-04;108071500915879288002
